DUSKIN 商品牌價總表
資料來源：商品資料庫（設定→商品資料庫）；單價為牌價（每次更換／件），未含任何折扣或加總。

分類,代號,品名,更換週期,單價(NT$),備註
地墊,FFMR,FOREVER地墊紅 M 115x180,每 2 週,420,
地墊,FFTK,FOREVER地墊 T 150x240,每 2 週,720,
地墊,FFXK,FOREVER地墊 X 115x240,每 2 週,550,
地墊,FF3MK,FOREVER地墊 3M 85x300,每 2 週,610,
地墊,FF5MK,FOREVER地墊 5M 85x500,每 2 週,880,
地墊,BSH,BASIC地墊 S（灰）,每 2 週,170,
地墊,BSR,BASIC地墊 S（紅）,每 2 週,170,
地墊,BSLH,BASIC地墊 SL（灰）,每 2 週,220,
地墊,BSLR,BASIC地墊 SL（紅）,每 2 週,220,
地墊,BLH,BASIC地墊灰 L 90x150,每 2 週,280,
地墊,BLR,BASIC地墊紅 L 90x150,每 2 週,280,
地墊,BLLH,BASIC地墊灰 M 120x180,每 2 週,420,
地墊,BLLR,BASIC地墊紅 M 120x180,每 2 週,420,
地墊,BTH,BASIC地墊灰 T 150x240,每 2 週,720,
地墊,BTR,BASIC地墊紅 T 150x240,每 2 週,720,
地墊,B3MH,BASIC地墊灰 3M 90x300,每 2 週,610,
地墊,B3MR,BASIC地墊紅 3M 90x300,每 2 週,610,
地墊,B5MH,BASIC地墊灰 5M 90x500,每 2 週,880,
地墊,B5MR,BASIC地墊紅 5M 90x500,每 2 週,880,
地墊,GSH,雅緻地墊 S（灰）,每 2 週,190,
地墊,GSB,雅緻地墊 S（棕）,每 2 週,190,
地墊,GLH,雅緻地墊 L,每 2 週,360,
地墊,GLB,雅緻地墊棕 L 90x150,每 2 週,360,
地墊,GLLH,雅緻地墊灰 M 120x180,每 2 週,500,
地墊,GLLB,雅緻地墊棕 M 120x180,每 2 週,500,
地墊,GTH,雅緻地墊灰 T 150x240,每 2 週,900,
地墊,GTB,雅緻地墊棕 T 150x240,每 2 週,900,
地墊,EXSH,強力刮沙地墊 S,每 2 週,190,
地墊,EXSLH,強力刮沙地墊 SL,每 2 週,280,
地墊,EXLH,強力刮沙地墊 L,每 2 週,360,
地墊,ELLH,強力刮沙地墊 M 120x180,每 2 週,500,
地墊,EXTH,強力刮沙地墊 T 150x240,每 2 週,900,
地墊,UQSH,薄型吸塵地墊 S,每 2 週,190,
地墊,UQSLH,薄型吸塵地墊 SL,每 2 週,280,
地墊,UQLH,薄型吸塵地墊 L,每 2 週,360,
地墊,UQLLH,薄型吸塵地墊 M 120x180,每 2 週,500,
地墊,UQTH,薄型吸塵地墊 T 150x240,每 2 週,900,
地墊,UQ3MH,薄型吸塵地墊 3M 90x300,每 2 週,580,
地墊,UQ4MH,薄型吸塵地墊 4M 90x400,每 2 週,730,
地墊,UQ5MH,薄型吸塵地墊 5M 90x500,每 2 週,910,
地墊,KKSN,KK地墊 S,每 2 週,170,
地墊,KKSLN,KK地墊 SL,每 2 週,220,
地墊,KKLN,KK地墊 L,每 2 週,280,
地墊,MANSB,男女辨識地墊 S（藍）,每 2 週,170,
地墊,MWOSR,男女辨識地墊 S（紅）,每 2 週,170,
芳香,DOME,大型香水芳香劑 300ml,每 4 週,220,
芳香,AFDW,大型香水芳香機台 300ml,每 4 週,400,含BT3×4
芳香,BFDW,BF複方精油芳香機台 240ml,每 4 週,200,含BT3×4
芳香,FNWT,Prime D氛香機 白 80ml,每 4 週,350,含BT1×1
芳香,FNBK,Prime D氛香機 黑 80ml,每 4 週,350,含BT1×1
芳香,AMDW,小型擴香機台,每 4 週,500,含BT4×4
芳香,FNBN,Prime D氛香機 咖啡 80ml,每 4 週,350,含BT1×1
芳香,AL-360,香氛擴香機 400ml,每 4 週,2200,含口味
芳香,WA350,自動酒精 (補充包350ml+機台+立架),每 4 週,300,含F7400A+FST-01+BT2×3；補充包$250+立架$50
芳香,FST-01C,自動酒精機台立架使用費,每 4 週,50,已含在WA350

配件／機台／口味（無獨立牌價，隨主商品搭配）
分類,代號,品名,備註
拖把,SHB,握把式抹布把手,配件
拖把,NHS-B,紫色除塵抹布桿,配件
拖把,SSS-DR,SHUSHU把手,配件
拖把,LA-PR,LALA桿子,配件
拖把,LA-HR,LALA托架,配件
拖把,M90-H,大拖把托架,配件
拖把,M120-H,超大拖把托架,配件
拖把,BS-H,拖把托架S,配件
拖把,BM-H,拖把托架M,配件
拖把,P-B,除塵拖把桿,配件
拖把,M-PA,拖把桿,配件
芳香,AF-BP,藍罌粟 (AFDW口味),口味
芳香,AF-IT,麝香薄荷 (AFDW口味),口味
芳香,BF-W,松柚 (BFDW口味),口味
芳香,BF-PC,松果 (BFDW口味),口味
芳香,FNPS2-K,沉穩 (Prime D口味),口味
芳香,BT1,BT1電池,配件
芳香,BT3,BT3電池,配件
芳香,BT4,BT4電池,配件
芳香,AMMK,木質 (AMDW口味),口味
芳香,AMWT,白茶 (AMDW口味),口味
芳香,AMOB,橙花 (AMDW口味),口味
芳香,AF-L,檸檬 (AFDW口味),口味
芳香,AF-D,薰衣草 (AFDW口味),口味
芳香,AF-G,綠茶 (AFDW口味),口味
芳香,AF-N,鈴蘭 (AFDW口味),口味
芳香,AF-FC,青檸羅勒 (AFDW口味),口味
芳香,BF-P,水蜜桃 (BFDW口味),口味
芳香,BF-R,迷迭香 (BFDW口味),口味
芳香,BF-C,櫻花 (BFDW口味),口味
芳香,BF-G,香茅草 (BFDW口味),口味
芳香,BFDW-D,BFDW底座,配件
芳香,FNPF2-K,清新 (Prime D口味),口味
芳香,FNPE2-K,優雅 (Prime D口味),口味
芳香,FNPC2-K,柔和 (Prime D口味),口味
芳香,FNPR2-K,果漾 (Prime D口味),口味
芳香,FNPD2-K,自然 (Prime D口味),口味
芳香,AL-CD,魅惑野果 (AL-360口味),口味
芳香,AL-SP,浪漫雪松 (AL-360口味),口味
芳香,AL-GT,微風青檸 (AL-360口味),口味
芳香,AL-FR,典雅蘭花 (AL-360口味),口味
芳香,F7400A,自動酒精機台,配件
芳香,FST-01,自動酒精機台立架,配件
芳香,BT2,BT2鹼性3號電池,配件
